model,location,forecast_date,anomaly,n_anomaly
epiforecasts-EpiNow2,GR,2022-01-17,FALSE,0
epiforecasts-EpiNow2,HR,2022-01-17,FALSE,0
epiforecasts-EpiNow2,HU,2022-01-17,FALSE,0
epiforecasts-EpiNow2,IE,2022-01-17,FALSE,0
epiforecasts-EpiNow2,IS,2022-01-17,FALSE,0
epiforecasts-EpiNow2,IT,2022-01-17,FALSE,0
epiforecasts-EpiNow2,LI,2022-01-17,FALSE,0
epiforecasts-EpiNow2,LT,2022-01-17,TRUE,4
epiforecasts-EpiNow2,LU,2022-01-17,FALSE,0
epiforecasts-EpiNow2,LV,2022-01-17,FALSE,0
epiforecasts-EpiNow2,MT,2022-01-17,FALSE,0
epiforecasts-EpiNow2,NL,2022-01-17,FALSE,0
epiforecasts-EpiNow2,NO,2022-01-17,FALSE,0
epiforecasts-EpiNow2,PL,2022-01-17,TRUE,1
epiforecasts-EpiNow2,PT,2022-01-17,TRUE,2
epiforecasts-EpiNow2,RO,2022-01-17,FALSE,0
epiforecasts-EpiNow2,SE,2022-01-17,FALSE,0
epiforecasts-EpiNow2,SI,2022-01-17,FALSE,0
epiforecasts-EpiNow2,SK,2022-01-17,FALSE,0
itwm-dSEIR,DE,2022-01-17,TRUE,2
prolix-euclidean,BE,2022-01-17,FALSE,0
prolix-euclidean,DK,2022-01-17,FALSE,0
prolix-euclidean,EE,2022-01-17,FALSE,0
prolix-euclidean,FR,2022-01-17,FALSE,0
prolix-euclidean,DE,2022-01-17,TRUE,2
prolix-euclidean,IE,2022-01-17,FALSE,0
prolix-euclidean,IT,2022-01-17,FALSE,0
prolix-euclidean,LU,2022-01-17,FALSE,0
prolix-euclidean,CH,2022-01-17,FALSE,0
prolix-euclidean,GB,2022-01-17,FALSE,0
JBUD-HMXK,AT,2022-01-23,TRUE,1
JBUD-HMXK,CZ,2022-01-23,FALSE,0
JBUD-HMXK,DK,2022-01-23,FALSE,0
JBUD-HMXK,FI,2022-01-23,FALSE,0
JBUD-HMXK,FR,2022-01-23,FALSE,0
JBUD-HMXK,DE,2022-01-23,TRUE,1
JBUD-HMXK,GR,2022-01-23,FALSE,0
JBUD-HMXK,HU,2022-01-23,FALSE,0
JBUD-HMXK,IE,2022-01-23,FALSE,0
JBUD-HMXK,IT,2022-01-23,FALSE,0
JBUD-HMXK,LV,2022-01-23,FALSE,0
JBUD-HMXK,LT,2022-01-23,TRUE,4
JBUD-HMXK,NL,2022-01-23,TRUE,1
JBUD-HMXK,PL,2022-01-23,TRUE,2
JBUD-HMXK,PT,2022-01-23,TRUE,3
JBUD-HMXK,SK,2022-01-23,FALSE,0
JBUD-HMXK,SI,2022-01-23,FALSE,0
JBUD-HMXK,ES,2022-01-23,TRUE,2
JBUD-HMXK,SE,2022-01-23,FALSE,0
JBUD-HMXK,NO,2022-01-23,FALSE,0
JBUD-HMXK,GB,2022-01-23,FALSE,0
USC-SIkJalpha,AT,2022-01-23,TRUE,1
USC-SIkJalpha,BE,2022-01-23,FALSE,0
USC-SIkJalpha,BG,2022-01-23,FALSE,0
USC-SIkJalpha,HR,2022-01-23,FALSE,0
USC-SIkJalpha,CY,2022-01-23,FALSE,0
USC-SIkJalpha,CZ,2022-01-23,FALSE,0
USC-SIkJalpha,DK,2022-01-23,FALSE,0
USC-SIkJalpha,EE,2022-01-23,FALSE,0
USC-SIkJalpha,FI,2022-01-23,FALSE,0
USC-SIkJalpha,FR,2022-01-23,FALSE,0
USC-SIkJalpha,DE,2022-01-23,TRUE,1
USC-SIkJalpha,GR,2022-01-23,FALSE,0
USC-SIkJalpha,HU,2022-01-23,FALSE,0
USC-SIkJalpha,IS,2022-01-23,FALSE,0
USC-SIkJalpha,IE,2022-01-23,FALSE,0
USC-SIkJalpha,IT,2022-01-23,FALSE,0
USC-SIkJalpha,LV,2022-01-23,FALSE,0
USC-SIkJalpha,LI,2022-01-23,FALSE,0
USC-SIkJalpha,LT,2022-01-23,TRUE,4
USC-SIkJalpha,LU,2022-01-23,FALSE,0
USC-SIkJalpha,MT,2022-01-23,FALSE,0
USC-SIkJalpha,NL,2022-01-23,TRUE,1
USC-SIkJalpha,NO,2022-01-23,FALSE,0
USC-SIkJalpha,PL,2022-01-23,TRUE,2
USC-SIkJalpha,PT,2022-01-23,TRUE,3
USC-SIkJalpha,RO,2022-01-23,FALSE,0
USC-SIkJalpha,SK,2022-01-23,FALSE,0
USC-SIkJalpha,SI,2022-01-23,FALSE,0
USC-SIkJalpha,ES,2022-01-23,TRUE,2
USC-SIkJalpha,SE,2022-01-23,FALSE,0
USC-SIkJalpha,CH,2022-01-23,FALSE,0
USC-SIkJalpha,GB,2022-01-23,FALSE,0
UpgUmibUsi-MultiBayes,IT,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,AT,2022-01-23,TRUE,1
epiforecasts-weeklygrowth,BE,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,BG,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,CH,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,CY,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,CZ,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,DE,2022-01-23,TRUE,1
epiforecasts-weeklygrowth,DK,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,EE,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,ES,2022-01-23,TRUE,2
epiforecasts-weeklygrowth,FI,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,FR,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,GB,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,GR,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,HR,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,HU,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,IE,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,IS,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,IT,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,LI,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,LT,2022-01-23,TRUE,4
epiforecasts-weeklygrowth,LU,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,LV,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,MT,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,NL,2022-01-23,TRUE,1
epiforecasts-weeklygrowth,NO,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,PL,2022-01-23,TRUE,2
epiforecasts-weeklygrowth,PT,2022-01-23,TRUE,3
epiforecasts-weeklygrowth,RO,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,SE,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,SI,2022-01-23,FALSE,0
epiforecasts-weeklygrowth,SK,2022-01-23,FALSE,0
BIOCOMSC-Gompertz,AT,2022-01-24,TRUE,1
BIOCOMSC-Gompertz,BG,2022-01-24,FALSE,0
BIOCOMSC-Gompertz,DE,2022-01-24,TRUE,1
BIOCOMSC-Gompertz,DK,2022-01-24,FALSE,0
BIOCOMSC-Gompertz,EE,2022-01-24,FALSE,0
