reference_date,location,age_group,confirm,holiday
2021-04-10,DE-HB,80+,2,FALSE
2021-04-10,DE-HE,00+,121,FALSE
2021-04-10,DE-HE,00-04,2,FALSE
2021-04-10,DE-HE,05-14,0,FALSE
2021-04-10,DE-HE,15-34,17,FALSE
2021-04-10,DE-HE,35-59,48,FALSE
2021-04-10,DE-HE,60-79,32,FALSE
2021-04-10,DE-HE,80+,22,FALSE
2021-04-10,DE-HH,00+,29,FALSE
2021-04-10,DE-HH,00-04,0,FALSE
2021-04-10,DE-HH,05-14,0,FALSE
2021-04-10,DE-HH,15-34,6,FALSE
2021-04-10,DE-HH,35-59,11,FALSE
2021-04-10,DE-HH,60-79,10,FALSE
2021-04-10,DE-HH,80+,2,FALSE
2021-04-10,DE-MV,00+,37,FALSE
2021-04-10,DE-MV,00-04,0,FALSE
2021-04-10,DE-MV,05-14,0,FALSE
2021-04-10,DE-MV,15-34,4,FALSE
2021-04-10,DE-MV,35-59,10,FALSE
2021-04-10,DE-MV,60-79,15,FALSE
2021-04-10,DE-MV,80+,8,FALSE
2021-04-10,DE-NI,00+,88,FALSE
2021-04-10,DE-NI,00-04,4,FALSE
2021-04-10,DE-NI,05-14,2,FALSE
2021-04-10,DE-NI,15-34,8,FALSE
2021-04-10,DE-NI,35-59,31,FALSE
2021-04-10,DE-NI,60-79,32,FALSE
2021-04-10,DE-NI,80+,11,FALSE
2021-04-10,DE-NW,00+,271,FALSE
2021-04-10,DE-NW,00-04,5,FALSE
2021-04-10,DE-NW,05-14,3,FALSE
2021-04-10,DE-NW,15-34,40,FALSE
2021-04-10,DE-NW,35-59,87,FALSE
2021-04-10,DE-NW,60-79,103,FALSE
2021-04-10,DE-NW,80+,33,FALSE
2021-04-10,DE-RP,00+,26,FALSE
2021-04-10,DE-RP,00-04,0,FALSE
2021-04-10,DE-RP,05-14,0,FALSE
2021-04-10,DE-RP,15-34,6,FALSE
2021-04-10,DE-RP,35-59,9,FALSE
2021-04-10,DE-RP,60-79,7,FALSE
2021-04-10,DE-RP,80+,4,FALSE
2021-04-10,DE-SH,00+,21,FALSE
2021-04-10,DE-SH,00-04,1,FALSE
2021-04-10,DE-SH,05-14,0,FALSE
2021-04-10,DE-SH,15-34,4,FALSE
2021-04-10,DE-SH,35-59,5,FALSE
2021-04-10,DE-SH,60-79,6,FALSE
2021-04-10,DE-SH,80+,5,FALSE
2021-04-10,DE-SL,00+,11,FALSE
2021-04-10,DE-SL,00-04,1,FALSE
2021-04-10,DE-SL,05-14,0,FALSE
2021-04-10,DE-SL,15-34,0,FALSE
2021-04-10,DE-SL,35-59,5,FALSE
2021-04-10,DE-SL,60-79,0,FALSE
2021-04-10,DE-SL,80+,5,FALSE
2021-04-10,DE-SN,00+,96,FALSE
2021-04-10,DE-SN,00-04,2,FALSE
2021-04-10,DE-SN,05-14,0,FALSE
2021-04-10,DE-SN,15-34,8,FALSE
2021-04-10,DE-SN,35-59,19,FALSE
2021-04-10,DE-SN,60-79,53,FALSE
2021-04-10,DE-SN,80+,14,FALSE
2021-04-10,DE-ST,00+,69,FALSE
2021-04-10,DE-ST,00-04,0,FALSE
2021-04-10,DE-ST,05-14,0,FALSE
2021-04-10,DE-ST,15-34,3,FALSE
2021-04-10,DE-ST,35-59,18,FALSE
2021-04-10,DE-ST,60-79,29,FALSE
2021-04-10,DE-ST,80+,19,FALSE
2021-04-10,DE-TH,00+,67,FALSE
2021-04-10,DE-TH,00-04,0,FALSE
2021-04-10,DE-TH,05-14,0,FALSE
